NOM PDV,ADRESSE PDV,LOCALISATION
Bar Séoul Marco,Karack,"17°27'59.74""W  14°42'21.57""N"
Bar Bois de Boulogne,Karack,"17°27'57.89""W  14°42'21.78""N"
Alimentation Bertouzy boisson Olivier,Sicap karak,"17°28'10.35""W  14°42'20.12""N"
Bar La Jovial,Fans Hock,"17°27'49.73""W  14°40'48.12""N"
Alimentation chez Jeo  Adrien Séne,Gueule Tapé,"17°27'33.14""W  14°40'52.07""N"
Bar Lumière Bleu Jean Paul Gomis,Médina 2 voix geul tapé,"17°27'14.33""W  14°40'58.91""N"
Alimentation chez Barros rue 31 Jean,médina rue 31,"17°27'13.62""W  14°40'53.86""N"
Chez Dany Bar Georges,Deux voix Sam médina,"17°27'8.89""W  14°41'10.12""N"
Bar Le Samaritin Moise Assine,Fass,"17°27'13.63""W  14°41'13.49""N"
Alimentation chez Poline  Ndiaye,Fass,"17°27'14.89""W  14°41'16.75""N"
Alimentation chez Nicole,Fass,"17°27'12.62""W  14°41'33.45""N"
Alimentation chez Leyti,Fass,"17°27'11.71""W  14°41'32.20""N"
Bar Le Piment,Fass,"17°27'6.92""W  14°41'29.34""N"
Alimentation Joseph,Fass Louveau,"17°27'0.38""W  14°41'37.06""N"
Alimentation chez Alphonse Badji,Fass couloir,"17°27'6.99""W  14°41'37.24""N"
Bunmy Bar restaurant Émilie Priera,Point E,"17°27'27.74""W  14°41'36.13""N"
Alimentation chez Jacqueline,Cité port hlm,"17°26'43.75""W  14°42'5.36""N"
Bar Chez Guilene,Keur Mame Nanou Biscuiterie,"17°26'49.69""W  14°42'30.84""N"
Sim Bar Ben Tally chez Lopy,Ben Tally,"17°26'58.89""W  14°42'36.49""N"
Bar Dougeul set Remond,Hlm 4 face Église Saint Maurice,"17°26'47.78""W  14°42'40.03""N"
Bar  chez Jean  Remond,Cité Bissap,"17°26'53.41""W  14°43'2.72""N"
Bar Diouloulou Prosper,Dieupeul face Croix bleu,"17°27'6.17""W  14°43'20.37""N"
Alimentation chez Mankabo Pape Fall,Dieupeul côte Sidibé,"17°27'2.21""W  14°43'20.15""N"
Alimentation Sidibé Adélaïde Rémi,Dieupeul côte croix bleu,"17°27'2.42""W  14°43'19.72""N"
Alimentation Jérôme Ntap,Dieupeul 2,"17°27'4.77""W  14°43'15.79""N"
Alimentation Pharmacie Libertés 5 Mathieu Gueye,Pharmacie Libertés 5,"17°27'30.66""W  14°43'19.72""N"
Alimentation Desanta Edwige Ba,Dieupeunl vers rond-point 6,"17°27'24.62""W  14°43'33.71""N"
Baz Chez Nguesse,Terminus Libertés 5,"17°27'25.26""W  14°43'28.45""N"
Alimentation chez Jérôme Cedrick Costa,Terminus Liberté 5 B,"17°27'26.89""W  14°43'28.63""N"
Alimentation Chez Félix,a près chez Christine dieme,"17°26'58.98""W  14°44'29.93""N"
One west,en face hôpital américain,"17°27'23.50""W  14°44'21.66""N"
Alimentation Chez Nino,derrière Bar dallas,"17°26'45.90""W  14°44'9.40""N"
Sabine,Guinée Bissau,"17°26'53.90""W  14°44'14.95""N"
Viviane Maman,côté en face Sabine,"17°26'54.10""W  14°44'14.72""N"
Anna bella,côté leonarda,"17°26'54.12""W  14°44'15.13""N"
Bar Léonnarda,Guinée Bissau côté Gomis,"17°26'53.45""W  14°44'14.90""N"
Inadapté Gomis,Guinée Bissau côté coloubaly,"17°26'53.17""W  14°44'14.85""N"
Bar chez Mimi couloubaly,Guinée Bissau côté Sabine,"17°26'53.95""W  14°44'15.20""N"
Jessica,Guinée Bissau côté Angel,"17°26'54.13""W  14°44'14.45""N"
Bar chez jeranda,Guinée Bissau en face Jessica,"17°26'54.39""W  14°44'15.11""N"
